"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
883539,"images",0.761849,1.422334,0.000052,0.251621,2.590881,"2024-09-26 02:08:13"
890259,"images",0.794795,0.762421,0.000030,0.247541,2.666490,"2024-09-26 03:40:58"
863216,"images",0.966670,1.464714,0.000034,0.246884,2.710296,"2024-09-25 21:20:23"
885222,"images",0.990405,1.616111,0.000026,0.246619,4.178373,"2024-09-26 02:29:12"
874258,"images",0.973773,1.253214,0.000030,0.249083,4.188177,"2024-09-25 23:54:52"
878741,"images",0.963696,1.419880,0.000033,0.242992,3.295946,"2024-09-26 00:58:57"
858879,"images",1.005911,1.351247,0.000032,0.246545,2.539886,"2024-09-25 20:18:55"
892607,"images",0.884917,1.267131,0.000028,0.239857,3.027415,"2024-09-26 04:13:05"
870494,"images",0.976363,1.467155,0.000031,0.255003,4.285791,"2024-09-25 23:02:51"
875095,"images",0.919128,1.323828,0.000032,0.243781,3.579585,"2024-09-26 00:08:07"
862189,"images",0.930584,0.898058,0.000031,0.249304,4.286910,"2024-09-25 21:05:18"
855763,"images",0.946560,1.226698,0.000031,0.247817,4.279403,"2024-09-25 19:35:31"
885746,"images",1.017895,1.376327,0.000029,0.245157,3.001597,"2024-09-26 02:37:56"
854655,"images",0.972070,2.203513,0.000030,0.252228,2.746823,"2024-09-25 19:18:46"
864634,"images",1.002317,1.439984,0.000032,0.246644,3.942698,"2024-09-25 21:41:51"
856583,"images",0.972305,1.344521,0.000032,0.248930,4.228390,"2024-09-25 19:47:58"
874123,"images",0.928825,1.519500,0.000051,0.250208,3.210317,"2024-09-25 23:53:28"
870520,"images",0.973674,1.214387,0.000031,0.258459,3.984872,"2024-09-25 23:02:46"
890001,"images",0.753379,1.451818,0.000033,0.243968,1.879884,"2024-09-26 03:37:43"
872367,"images",0.943234,1.350772,0.000033,0.251595,2.435199,"2024-09-25 23:30:23"
851183,"images",0.936559,0.922280,0.000031,0.247758,4.336033,"2024-09-25 18:31:10"
865647,"images",0.971905,0.889907,0.000032,0.289410,2.532169,"2024-09-25 21:53:23"
858367,"images",0.991240,1.358847,0.000032,0.248691,2.469180,"2024-09-25 20:10:28"
884468,"images",0.961776,1.243973,0.000031,0.251314,2.986828,"2024-09-26 02:22:03"
874902,"images",0.968620,0.879615,0.000032,0.250207,4.311682,"2024-09-26 00:04:58"
869194,"images",0.945330,1.232620,0.000032,0.276660,4.203256,"2024-09-25 22:43:39"
886123,"images",0.975070,1.655532,0.000043,0.252581,2.755476,"2024-09-26 02:43:30"
859236,"images",0.784539,1.336525,0.000028,0.242499,3.924552,"2024-09-25 20:24:29"
889382,"images",0.723983,1.656237,0.000028,0.242907,2.331275,"2024-09-26 03:28:06"
884463,"images",0.992158,0.878365,0.000032,0.244871,4.385846,"2024-09-26 02:21:51"
886856,"images",1.051708,1.600380,0.000031,0.243386,3.014993,"2024-09-26 02:53:36"
873234,"images",0.950789,1.808481,0.000031,0.253064,3.239766,"2024-09-25 23:39:48"
891642,"images",0.957409,1.201842,0.000028,0.247520,3.770231,"2024-09-26 04:01:59"
886109,"images",0.975012,1.319219,0.000030,0.246556,4.391851,"2024-09-26 02:43:01"
856153,"images",1.019686,1.234965,0.000030,0.245370,3.940084,"2024-09-25 19:41:17"
887486,"images",0.746966,1.489223,0.000059,0.246652,3.947828,"2024-09-26 03:04:03"
870060,"images",0.931009,1.209250,0.000031,0.249266,3.789783,"2024-09-25 22:55:39"
882170,"images",0.977888,1.348739,0.000032,0.246624,4.337599,"2024-09-26 01:46:58"
873302,"images",0.973102,1.442322,0.000030,0.246801,2.967617,"2024-09-25 23:40:15"
855577,"images",0.993999,1.431441,0.000032,0.247318,3.012249,"2024-09-25 19:33:08"
859212,"images",0.953873,1.519786,0.000029,0.242040,4.158515,"2024-09-25 20:23:22"
858664,"images",0.972722,1.493443,0.000030,0.250311,4.357764,"2024-09-25 20:15:05"
879738,"images",0.985272,1.538151,0.000033,0.246857,4.207427,"2024-09-26 01:13:47"
